"","Date","Average.Temperature","Total.Precipitation","Humidity..rh.","WhetherBloom"
"1",1945-01-01,44.7083333333333,0,83.1666666666667,0
"2",1945-01-02,23.4166666666667,0,48.5833333333333,0
"3",1945-01-03,30.5416666666667,0,52.7083333333333,0
"4",1945-01-04,42.9166666666667,0,46.8333333333333,0
"5",1945-01-05,34.625,0,46.375,0
"6",1945-01-06,29.3333333333333,0,63.5,0
"7",1945-01-07,28.5833333333333,0,87.375,0
"8",1945-01-08,31.5,0,92.4166666666667,0
"9",1945-01-09,33.0833333333333,0,76.4166666666667,0
"10",1945-01-10,22,0,58.625,0
"11",1945-01-11,24.125,0,66.0416666666667,0
"12",1945-01-12,33.0416666666667,0,66.25,0
"13",1945-01-13,38.5833333333333,0,92.375,0
"14",1945-01-14,32.6666666666667,0,91.5833333333333,0
"15",1945-01-15,32.125,0,91.4166666666667,0
"16",1945-01-16,33.625,0,89.9166666666667,0
"17",1945-01-17,32.25,0,64.2083333333333,0
"18",1945-01-18,29.3333333333333,0,46.1666666666667,0
"19",1945-01-19,32.7916666666667,0,56.7916666666667,0
"20",1945-01-20,32.125,0,75.625,0
"21",1945-01-21,29.2083333333333,0,64.9166666666667,0
"22",1945-01-22,34.375,0,87.4583333333333,0
"23",1945-01-23,36.7916666666667,0,61.0416666666667,0
"24",1945-01-24,33.3333333333333,0,54.5,0
"25",1945-01-25,18.2916666666667,0,38.5,0
"26",1945-01-26,20.625,0,62.7083333333333,0
"27",1945-01-27,26.625,0,45.7916666666667,0
"28",1945-01-28,34.0416666666667,0,49,0
"29",1945-01-29,33.625,0,61.0833333333333,0
"30",1945-01-30,30.4166666666667,0,56.0416666666667,0
"31",1945-01-31,20.875,0,58.4166666666667,0
"32",1945-02-01,22.5833333333333,0,57.875,0
"33",1945-02-02,25.4166666666667,0,51.2083333333333,0
"34",1945-02-03,27.1666666666667,0,49.7916666666667,0
"35",1945-02-04,28.5,0,63.6666666666667,0
"36",1945-02-05,37.0833333333333,0,65.2083333333333,0
"37",1945-02-06,31.9583333333333,0,65.4166666666667,0
"38",1945-02-07,32.7083333333333,0,66.8333333333333,0
"39",1945-02-08,36.0833333333333,0,78.1666666666667,0
"40",1945-02-09,40.4583333333333,0,64.2083333333333,0
"41",1945-02-10,47,0,59.875,0
"42",1945-02-11,45.5833333333333,0,52,0
"43",1945-02-12,41.4583333333333,0,55.7083333333333,0
"44",1945-02-13,38.3333333333333,0,85.4583333333333,0
"45",1945-02-14,38.125,0,78.125,0
"46",1945-02-15,44.875,0,68.0416666666667,0
"47",1945-02-16,53.75,0,57.1666666666667,0
"48",1945-02-17,35.3333333333333,0,77.5416666666667,0
"49",1945-02-18,32.3333333333333,0,67,0
"50",1945-02-19,26.3333333333333,0,52.0833333333333,0
"51",1945-02-20,30.625,0,56.7916666666667,0
"52",1945-02-21,34.9583333333333,0,83.7083333333333,0
"53",1945-02-22,43.3333333333333,0,93.4583333333333,0
"54",1945-02-23,46.625,0,64.75,0
"55",1945-02-24,44.4166666666667,0,48.25,0
"56",1945-02-25,45.875,0,50.6666666666667,0
"57",1945-02-26,47.6666666666667,0,77.3333333333333,0
