Date,Average Temperature,Total Precipitation,Humidity (rh),Pressure (in),Wind Speed (mph)
19450101,44.708333333333336,0,83.16666666666667,29.519166666666663,15.625
19450102,23.416666666666668,0,48.583333333333336,30.232916666666664,13.958333333333334
19450103,30.541666666666668,0,52.708333333333336,30.36750000000001,8.208333333333334
19450104,42.916666666666664,0,46.833333333333336,30.19125000000001,8.666666666666666
19450105,34.625,0,46.375,30.18624999999999,11.208333333333334
19450106,29.333333333333332,0,63.5,30.235833333333346,9.625
19450107,28.583333333333332,0,87.375,29.88208333333333,10.416666666666666
19450108,31.5,0,92.41666666666667,29.758333333333326,6.833333333333333
19450109,33.083333333333336,0,76.41666666666667,29.884166666666673,12.291666666666666
19450110,22,0,58.625,30.199166666666667,9.375
19450111,24.125,0,66.04166666666667,30.365833333333324,8
19450112,33.041666666666664,0,66.25,30.128750000000014,11.666666666666666
19450113,38.583333333333336,0,92.375,29.897499999999994,8.458333333333334
19450114,32.666666666666664,0,91.58333333333333,29.906250000000004,8.75
19450115,32.125,0,91.41666666666667,30.02,7.791666666666667
19450116,33.625,0,89.91666666666667,29.870416666666667,15.5
19450117,32.25,0,64.20833333333333,30.182916666666667,17.583333333333332
19450118,29.333333333333332,0,46.166666666666664,30.300416666666667,10.541666666666666
19450119,32.791666666666664,0,56.791666666666664,30.165833333333328,6.291666666666667
19450120,32.125,0,75.625,30.145416666666673,8.625
19450121,29.208333333333332,0,64.91666666666667,30.16625,5.833333333333333
19450122,34.375,0,87.45833333333333,29.812916666666666,2.7083333333333335
19450123,36.791666666666664,0,61.041666666666664,29.652916666666673,16.291666666666668
19450124,33.333333333333336,0,54.5,29.609166666666667,22.375
19450125,18.291666666666668,0,38.5,29.982083333333335,16.291666666666668
19450126,20.625,0,62.708333333333336,30.013333333333335,13
19450127,26.625,0,45.791666666666664,30.111250000000013,12.083333333333334
19450128,34.041666666666664,0,49,30.00916666666667,7.375
19450129,33.625,0,61.083333333333336,29.875833333333336,16.666666666666668
19450130,30.416666666666668,0,56.041666666666664,30.047500000000003,9.958333333333334
19450131,20.875,0,58.416666666666664,30.135416666666668,22.333333333333332
19450201,22.583333333333332,0,57.875,30.14291666666666,21.291666666666668
19450202,25.416666666666668,0,51.208333333333336,30.119583333333342,19.25
19450203,27.166666666666668,0,49.791666666666664,30.200833333333325,14.208333333333334
19450204,28.5,0,63.666666666666664,30.181249999999995,10.041666666666666
19450205,37.083333333333336,0,65.20833333333333,29.990833333333338,13.041666666666666
19450206,31.958333333333332,0,65.41666666666667,30.16000000000001,6.166666666666667
19450207,32.708333333333336,0,66.83333333333333,30.11208333333333,5.041666666666667
19450208,36.083333333333336,0,78.16666666666667,29.79458333333334,9.25
19450209,40.458333333333336,0,64.20833333333333,29.84333333333333,8.625
19450210,47,0,59.875,29.853333333333335,7
19450211,45.583333333333336,0,52,29.97666666666666,12.208333333333334
19450212,41.458333333333336,0,55.708333333333336,30.099166666666676,6.791666666666667
19450213,38.333333333333336,0,85.45833333333333,29.837916666666672,10
19450214,38.125,0,78.125,29.98666666666666,10.708333333333334
19450215,44.875,0,68.04166666666667,30.063333333333333,10.375
19450216,53.75,0,57.166666666666664,29.948333333333338,14.5
19450217,35.333333333333336,0,77.54166666666667,30.08875,8.666666666666666
19450218,32.333333333333336,0,67,30.203333333333337,11.916666666666666
19450219,26.333333333333332,0,52.083333333333336,30.515416666666656,12.291666666666666
19450220,30.625,0,56.791666666666664,30.373333333333335,6.833333333333333
19450221,34.958333333333336,0,83.70833333333333,30.255416666666672,8.375
19450222,43.333333333333336,0,93.45833333333333,29.83333333333333,7.458333333333333
19450223,46.625,0,64.75,30.00458333333333,13
19450224,44.416666666666664,0,48.25,29.13416666666667,11.875
19450225,45.875,0,50.666666666666664,30.51291666666667,7.25
19450226,47.666666666666664,0,77.33333333333333,28.860833333333332,9.5
19450227,48.166666666666664,0,66.08333333333333,29.91791666666667,15.958333333333334
19450228,31.875,0,78.625,30.12791666666668,9.041666666666666
19450301,39.25,0,61.75,30.211249999999996,12.375
19450302,43.5,0,74.95833333333333,30.06583333333333,9.583333333333334
19450303,57.791666666666664,0,69.20833333333333,29.810416666666672,12.375
19450304,45,0,53.583333333333336,30.148750000000003,8.875
19450305,38.625,0,80.04166666666667,30.197916666666668,6
19450306,51.375,0,88.04166666666667,29.65375,10.291666666666666
19450307,44.333333333333336,0,76.58333333333333,29.905833333333334,12.708333333333334
19450308,40.583333333333336,0,51.291666666666664,30.16583333333334,9.708333333333334
19450309,41.583333333333336,0,50.75,30.167916666666667,9.083333333333334
19450310,44.875,0,61.916666666666664,30.04625,8.833333333333334
19450311,41,0,57.166666666666664,30.22333333333333,9.416666666666666
19450312,45.625,0,69.5,30.154999999999998,10
19450313,47.416666666666664,0,50,30.15041666666666,11.041666666666666
19450314,51.583333333333336,0,52.291666666666664,30.134583333333325,10.083333333333334
19450315,59.375,0,75.5,30.050833333333333,7.458333333333333
19450316,71.625,0,60.083333333333336,29.937083333333334,9.875
19450317,70.04166666666667,0,67.875,29.961249999999993,8.5
19450318,63.583333333333336,0,48.625,30.203333333333337,9.416666666666666
19450319,67.75,0,56.333333333333336,30.01750000000001,11.833333333333334
19450320,73.41666666666667,0,55.5,29.75916666666667,9.958333333333334
19450321,63.833333333333336,0,68.83333333333333,29.483333333333338,12.333333333333334
19450322,43.833333333333336,0,72.45833333333333,29.584166666666665,19.083333333333332
19450323,54.375,0,50.166666666666664,29.734166666666667,10.666666666666666
19450324,60.541666666666664,0,45.083333333333336,29.9075,5.5
19450325,57.583333333333336,0,50.708333333333336,30.12833333333334,4.541666666666667
19450326,58.291666666666664,0,60.583333333333336,30.086250000000007,6.291666666666667
19450327,68.29166666666667,0,56.75,29.99208333333333,6.666666666666667
